wallet,total_txn_count,avg_txn_value_usd,active_days,first_txn,last_txn,Borrow,Repay,Deposit,Redeem,borrow_to_deposit_ratio,repay_to_borrow_ratio,activity_days_span
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,1,6.6e+19,1,2020-09-23 22:40:14+00:00,2020-09-23 22:40:14+00:00,0,0,1,0,0.0,0.0,1
0x124853fecb522c57d9bd5c21231058696ca6d596,1,0.0,1,2020-11-08 05:26:05+00:00,2020-11-08 05:26:05+00:00,0,0,0,1,0.0,0.0,1
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,2,0.0,2,2021-01-26 08:13:59+00:00,2021-01-28 08:13:13+00:00,0,0,0,2,0.0,0.0,2
0x330513970efd9e8dd606275fb4c50378989b3204,1,0.0,1,2020-02-22 02:07:05+00:00,2020-02-22 02:07:05+00:00,0,0,0,1,0.0,0.0,1
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,1,0.0,1,2020-02-14 11:34:41+00:00,2020-02-14 11:34:41+00:00,0,0,0,1,0.0,0.0,1
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,9,0.0,8,2020-02-14 03:49:05+00:00,2024-12-07 14:00:35+00:00,2,1,0,6,2.0,0.5,1759
0x4814be124d7fe3b240eb46061f7ddfab468fe122,8,1.4661430761255734e+16,4,2020-11-11 07:38:04+00:00,2021-03-28 15:06:51+00:00,0,2,0,6,0.0,2.0,138
0x4839e666e2baf12a51bf004392b35972eeddeabf,2,0.0,1,2021-02-09 09:01:05+00:00,2021-02-09 09:04:10+00:00,0,0,0,2,0.0,0.0,1
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,2,0.0,2,2021-04-29 19:52:07+00:00,2021-05-05 21:48:17+00:00,1,1,0,0,1.0,1.0,7
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,1,0.0,1,2021-10-04 15:51:10+00:00,2021-10-04 15:51:10+00:00,0,0,0,1,0.0,0.0,1
0x612a3500559be7be7703de6dc397afb541a16f7f,5,0.0,4,2021-03-03 12:08:02+00:00,2021-03-09 10:22:38+00:00,0,2,0,3,0.0,2.0,6
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,1,0.0,1,2020-11-24 17:38:02+00:00,2020-11-24 17:38:02+00:00,0,0,0,1,0.0,0.0,1
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,12,0.0,5,2020-05-09 03:49:27+00:00,2020-05-30 11:21:51+00:00,3,4,0,5,3.0,1.3333333333333333,22
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,2,0.0,1,2020-11-07 18:12:36+00:00,2020-11-07 18:13:10+00:00,0,0,0,2,0.0,0.0,1
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,1,0.0,1,2020-05-08 00:36:25+00:00,2020-05-08 00:36:25+00:00,0,0,0,1,0.0,0.0,1
0x880a0af12da55df1197f41697c1a1b61670ed410,2,0.0,1,2020-11-04 17:46:52+00:00,2020-11-04 17:53:55+00:00,0,0,0,2,0.0,0.0,1
0x8be38ea2b22b706aef313c2de81f7d179024dd30,2,0.0,2,2021-05-06 10:21:53+00:00,2021-06-01 16:33:35+00:00,0,0,0,2,0.0,0.0,27
0x8d900f213db5205c529aaba5d10e71a0ed2646db,1,0.0,1,2021-01-14 01:42:02+00:00,2021-01-14 01:42:02+00:00,0,0,0,1,0.0,0.0,1
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,1,0.0,1,2022-01-23 16:32:32+00:00,2022-01-23 16:32:32+00:00,0,0,0,1,0.0,0.0,1
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,1,0.0,1,2025-07-04 02:25:11+00:00,2025-07-04 02:25:11+00:00,1,0,0,0,1.0,0.0,1
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,7,0.0,7,2023-03-11 14:09:23+00:00,2024-03-03 03:51:35+00:00,2,5,0,0,2.0,2.5,358
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,1,0.0,1,2021-01-18 23:40:53+00:00,2021-01-18 23:40:53+00:00,0,0,0,1,0.0,0.0,1
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,11,6.528413200721183e+16,9,2020-09-12 02:05:12+00:00,2021-03-29 23:47:33+00:00,3,4,1,3,3.0,1.3333333333333333,199
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,2,9.901297254865211e+16,2,2021-05-05 11:12:07+00:00,2021-11-16 06:19:08+00:00,0,0,1,1,0.0,0.0,195
0xf10fd8921019615a856c1e95c7cd3632de34edc4,1,0.0,1,2020-09-20 12:38:15+00:00,2020-09-20 12:38:15+00:00,0,0,0,1,0.0,0.0,1
